groundTruth,predicted
"
2013-2014, NO, PUMP, Grundfos CR64-2 Multistage Centrifugal w/Motor, Completion tools and equipment, ","
2013-2014, NO, PUMP, Well drilling equipment,  Completion tools and equipment,  Well drilling equipme"
"
PO12K054, nan, Statewide Contract, Parks & Recreation, Department of, 1013022.0, 25101507.0, ","
4500171676, nan, Statewide Contract, Corrections and Rehabilitation, Department of, 1013022.0"
"
09/11/2013, NON-IT Services, Sensus MI, Inc., 85141504.0, 85141500.0, ","
09/05/2013, NON-IT Services, AMETRUS ENVIRONMENTAL INC, 85141504.0, 85"
"
07/09/2013, State Hospitals, Department of, 20002, 76122405
93151517, 20002
(38.904734, -76.988642), ","
07/15/2013, State Hospitals, Department of, 95648, 76122405, 95648
(38.900529, -121.296946), 
"
"
Formal Competitive, PHPPS - PD/EP, $1500000.00, Integrated pest management services, ","
Formal Competitive, Contract, $1500000.00, Weed control services,  protection service"
"
SB/DVBE Option, 33434.0, CALIFORNIA POWER TEST INC, 95833, $106600.00, 72150000.0, Specialized trade construction and maintenance services, ","
Formal Competitive, 1787794.0, Electric Air Service, 95833, $106600.00, 72150000.0, Specialized trade construction and maintenance services,"
"
nan, nan, emergency janitoral services, ","
nan, nan, Emergencyly to provide janitor"
"
92121701
92121702, 92121700.0, ","
92121701, 92121700.0,  92120000"
"
02/04/2013, 1-12-68-10, 8497.0, Salt, Cleaning Equipment and Supplies, 96056
(40.968321, -121.121279), ","
02/03/2013, 1-10-84-07, 1017088.0, Treated Bulk Salt, Cleaning Equipment and Supplies, 96056
(40.968"
"
2012-2013, Periodicals, Printed publications, ","
2012-2013, Periodicals, Printed publications, "
"
nan, Vocational training, Education and Training Services, ","
nan, Vocational training, Education and Training Services, "
"
81110000.0, ","
81110000.0, "
"
50305600.0, ","
50305600.0, "
"
nan, Newood Display Fisture, Nesting Table 40"", ","
nan, DAILY JOURNAL CORPORATION, Nesting Table 40"
"
02/19/2013, nan, $35098.50, ","
02/19/2013, nan, $35098.50, "
"
State Programs, Prison Industry Authority (PIA), Chicken, processed with additions, Processed meat and poultry products, ","
State Programs, Prison Industry Authority (PIA), Chicken, processed with additions, Processed meat and poultry products, "
"
NON-IT Services, 1750831.0, ","
NON-IT Services, 1731980.0, "
"
1.0, $25250.00, Educational facilities, ","
1.0, $25250.00, Educational facilities, "
"
nan, Baking mixes, 50000000.0, ","
nan, Baking mixes, 50000000.0, "
"
nan, 20899, NO, PROPANE IN AIR, ","
nan, 20899, NO, NOMINAL AMOUNT O"
"
Education, Department of, $-1000.00, 43232502.0, Educational or reference software, Software, ","
Education, Department of, $-1000.00, 43232502.0, Educational or reference software, Software, "
"
nan, 95828, 7.0, Bulletin board sets, ","
nan, 95828, 4.0, Bulletin board sets, "
"
State Programs, 15100000.0, ","
State Programs, 15100000.0, "
"
2012-2013, IT Goods, $170.00, 43232111.0, 43000000.0, ","
2012-2013, IT Goods, $170.00, 43232111.0, 43000000.0, "
"
06/03/2013, Information Technology Broadcasting and Telecommunications, ","
06/02/2013, Information Technology Broadcasting and Telecommunications, "
"
Office Equipment and Accessories and Supplies, ","
Office Equipment and Accessories and Supplies, "
"
06/13/2014, P-140624, 1.0, 56112100.0, ","
06/18/2014, 13-501-0190, 1.0, 56112100."
"
nan, Informal Competitive, 7 Day Tires, ","
nan, State Programs, PIA,  BRCO,        "
"
K. Lawrence Inc. dba Lawrence Tire & Service, NO, $12.25, ","
Central Valley Office Supply, NO, $11.25, 

### Response:
"
"
2012-2013, ","
2012-2013, "
"
56101504, 56101504.0, ","
56101504, 56101504.0, "
"
$135.00, 24101700.0, Conveyors and accessories, ","
$135.00, 24101700.0, Drum handling equipment,   "
"
nan, Statewide Health Planning & Development, Office of, nan, nan, 1.0, 86000000.0, ","
nan, Statewide Health Planning & Development, Office of, nan, nan, 1.0, 86000000.0, "
"
56000000.0, Furniture and Furnishings, ","
56000000.0, Furniture and Furnishings, "
"
nan, 93456, NO, ","
nan, 93456, NO, "
"
2012-2013, 1.0, ","
2012-2013, 1.0, "
"
Prison Industry Authority (PIA), ATHERTON COUNTER HEIGHT TASK CHAIR, ","
Prison Industry Authority (PIA), FILE FURNITURE,  LASERJET,  FURNITUR"
"
Services are specifically exempt by statute, nan, Advanced Technology Laboratories, 41110000.0, ","
Services are specifically exempt by statute, nan, City of Berkely, 41110000.0, 

### Response:
S"
"
nan, Highway Patrol, California, nan, ","
nan, Highway Patrol, California, nan, "
"
2UI3H1121, Emergency Purchase, nan, Incident Support Trailer, Forest or wilderness firefighting services, ","
2UI3L567, Emergency Purchase, nan, Trailers for Incident Support CABTU010969 Swedes, Forest or wilderness "
"
50-64-22, ","
50-64-57, "
"
10/30/2013, nan, 81112306.0, Engineering and Research and Technology Based Services, ","
10/02/2013, nan, 81112306.0, Engineering and Research and Technology Based Services, "
"
IT-13-020, Statewide Contract, 17224.0, ","
13-I0056, Statewide Contract, 17224.0, 
"
"
nan, nan, 90274
(33.779784, -118.375432), ","
nan, nan, 90274
(33.779784, -118.375432), "
"
07/01/2012, 85101603
85101604
85101605, ","
08/01/2011, 85101603,  

### Response:
0"
"
nan, Children and Families Commission, 4.0, ","
nan, Children and Families Commission, 36.0,"
"
95110, Energy use reduction measures, ","
95110, Energy use reduction measures, "
"
nan, Insurance, Department of, NO, ","
nan, Insurance, Department of, NO, "
"
4500207854, Fleet, Fuel for Equip. 07S665, Gasoline or Petrol, nan, ","
4500207854, Fleet, Fuel for Equip. 07S665, Gasoline or Petrol, nan, "
"
$25.32, Office supplies, ","
$3.32, Office supplies,  "
"
nan, Services are specifically exempt by statute, 1.0, $20000.00, 76122405, 76122400.0, Industrial Cleaning Services, ","
nan, Services are specifically exempt by statute, 1.0, $20000.00, 76122405, 76122400.0, Industrial Cleaning Services, "
"
nan, 21100000.0, ","
08/01/2012, 21100"
"
nan, nan, General Services, Department of, nan, Re training or refreshing training services, ","
nan, Services are specifically exempt by statute, General Services, Department of, nan, Re tr"
"
07/24/2014, 2014-2015, General Services, Department of, 93001, 60121000.0, 93001
(34.325102, -119.320782), ","
06/12/2014, 2013-2014, General Services, Department of, 94303-7600, 60121000.0, 94303-7600
(37.450262"
"
80111600.0, 95353
(37.640735, -121.002435), ","
80111600.0, 95353
(37.640735, -121.002435), "
"
05/14/2014, nan, NO, $5629.85, 86100000.0, Vocational training, ","
06/18/2014, nan, NO, $5629.85, 86100000.0, Vocational training, "
"
95696, 24111500.0, 95696
(38.43, -122.02), ","
95696, 24111500.0, 95696
(38.43, -122.02), "
"
","
"
"
2014-2015, ","
2014-2015, "
"
NON-IT Goods, 42182803, Medical weight scales, 42000000.0, ","
NON-IT Goods, 42182803, Medical weight scales, 42000000.0, "
"
06/22/2012, Architectural and Engineering, Statement of Qualifications, 81101508, ","
01/07/2015, Architectural and Engineering, Formal Competitive, 81101508, 

### Res"
"
09/13/2012, NON-IT Goods, Informal Competitive, 44121604, Office supplies, ","
09/13/2012, NON-IT Goods, Fair and Reasonable, 44121604, Office supplies, 
"
"
47120000.0, 47000000.0, ","
47120000.0, 47000000.0, "
"
Statewide Contract, ","
Statewide Contract, "
"
HELICOPETER HOURS, 1.0, $9026.63, $9026.63, 78000000.0, ","
HELICOPTER SERVICE, 1.0, $25000.00, $25000.00, 78000000."
"
45111800.0, ","
45111800.0, "
"
14BS5012, Guerin, Furniture, 56100000.0, ","
10-001, California Department of Water Re"
"
nan, 94080, 41113711.0, Electronic and communication measuring and testing instruments, Laboratory and Measuring and Observing and Testing Equipment, ","
nan, 94080, 41113711.0, Electronic and communication measuring and testing instruments, Laboratory and Measuring and Observing and Testing Equipment, "
"
1123, Formal Competitive, nan, 94709, NO, 23180000.0, ","
REQ0009379, Informal Competitive, nan, 94709, NO, 2318"
"
REQ0014436, nan, 23063.0, ","
REQ0014436, nan, 54634.0, "
"
1001584.0, Rubbermaid Utility Cart, 500 LB load Capacity, 2 shelves, $203.15, ","
1001584.0, Rubbermaid Utility Cart, $203.15,    

### Response:
1001584.0, Rub"
"
94131503.0, Civic organizations and associations and movements, ","
94131503.0, Civic organizations and associations and movements, "
"
FY 14/15 Substance Abuse Services Coordination Agency (SASCA), FY 14/15 Substance Abuse Services Coordination Agency (SASCA) Region 3, $22106240.00, 60105621
85122103, 60000000.0, ","
06/01/2011, Amendment 1 adds $22106240.00, 60105621, 60000000.0, 

### Response:
06/01/2011,"
"
","
"
"
nan, Fresh bread, ","
nan, Fresh bread, "
"
2014-2015, nan, NON-IT Goods, State Programs, NO, Misc. for Equip. 04S288, Petroleum and distillates, 15100000.0, ","
2014-2015, nan, NON-IT Goods, State Programs, NO, Misc. for Equip. 04S288, Petroleum and distillates, 15100000.0, "
"
05/20/2015, nan, 27112903.0, Hand tools, ","
05/20/2015, nan, 27112903.0, Hand tools, "
"
Pesticide Regulation, Department of, 44112002
44122011, ","
Pesticide Regulation, Department of, 44112002,      

##"
"
92373, A professor and recently graduated Masters student at the University of
Redlands are developing the âWhale mAPP,â a web and mobile
application that will allow anyone with a GPS-enabled smart phone to act
as a citizen scientist and record whales or other marine mammals they
spot and where they spotted them.  A prototype of the app and
website has already been developed.  This grant will support
compiling the educational content and lesson plans, redesigning the
website and app to function smoothly and be user-friendly, piloting it
with 70-300 students in southern California onboard whale watching
boats, and promoting it to teachers, whale researchers, and
whale-watching adults., 86111802.0, 86000000.0, ","
92373, The Whale mAPP project will help the California Coastal Commission
connect schools to marine debris in the San Francisco Bay Region, 86111802.0, 86000000.0"
"
Filters, 40000000.0, ","
Filters, 40000000.0, "
"
2014-2015, nan, $8.00, ","
2014-2015, nan, $8.00, "
"
Services are specifically exempt by statute, nan, Public Defender, State, ","
Services are specifically exempt by statute, nan, Public Defender, State, "
"
2013-2014, nan, GORILLA STATIONERS LLC, 92647, NO, ","
2013-2014, nan, GORILLA STATIONERS LLC, 92647, NO, "
"
15.0, 95827
(38.563097, -121.328511), ","
30.0, 95827
(38.563097, -121.328511), "
"
nan, nan, nan, Informal Competitive, ","
nan, nan, nan, Informal Competitive, "
"
06/30/2015, Medical Vocational Training Services, $7500.00, ","
06/14/2015, Medical Vocational Training Services, $7500.00, "
"
12/31/2014, ","
12/31/2014, "
"
04/22/2013, BREAK OUT CONCENTRATED CLEANER, ","
06/12/2013, BREAK OUT CONCENTRATED CLEANER, "
"
ENERGIZER INDUSTRAIL ALKALINE AA/AAA BATTERIES, ","
ENERGIZER INDUSTRAIL ALKALINE AA/AAA BATTERIES, "
"
Conduit, $117931.33, 39130000.0, ","
Conduit, $117931.33, 39130000.0, "
"
PAINT, Manufacturing Components and Supplies, 75119
(32.324879, -96.608139), ","
PAINT, YELLOW, Manufacturing Components and Supplies, 75119
(32.324879, -96.6"
"
10/18/2013, McKesson Medical - Surgical Minnesota Su, Formulas and products for nutritional support, 42230000.0, nan, ","
09/21/2013, McKesson Medical - Surgical Minnesota Su, Formulas and products for nutritional support, 42230000.0, nan, "
"
2013-2014, 13274.0, $3402.20, Computer Equipment and Accessories, ","
2013-2014, 13274.0, $3420.20, Computer Equipment and Accessories, "
"
US FOODSERVICE, 93130000.0, ","
US FOODSERVICE, 93130000.0, "
"
4500176398, Angus Hamer Networking, ","
4500176605, Angus Hamer Networking, "
"
11527.0, ","
11527.0, "
"
nan, 50613.0, $1.00, ","
nan, 50613.0, $0.00, "
"
nan, CA-DVBE CA-SB CA-SBE, 46181802.0, ","
nan, CA-DVBE CA-SB CA-SBE, 46181802.0, "
"
13-861-181, nan, Computer services, Engineering and Research and Technology Based Services, ","
X0518, nan, Computer services, Engineering and Research and Technology Based Services, 

###"
"
nan, Dental equipment and supplies, ","
nan, Dental equipment and supplies, "
"
08/27/2013, Fuel for Equip. 07S618, $234.18, ","
08/27/2013, Fuel for Equip. 07S618, $234.18, "
"
ANDERMAC INC, $81.00, ","
STERROKE ELECTRONICS, "
"
nan, NO, 15101500.0, 15100000.0, ","
nan, NO, 15101500.0, 15100000.0, "
"
nan, NON-IT Services, nan, 85141504, ","
nan, NON-IT Services, nan, 85141504, "
"
sherbet assorted, Desserts and dessert toppings, ","
 sherbet assorted, Desserts and dessert toppings,"
"
nan, nan, 25101503.0, Passenger motor vehicles, Motor vehicles, ","
nan, nan, 25101503.0, Passenger motor vehicles, Motor vehicles, "
"
NON-IT Goods, nan, exit sign, ","
NON-IT Goods, nan, exit sign, "
"
7-11-51-02, nan, 95691, ADAPTER, 2 IN SLIP X MNPT, PVC, SCHEDULE, ADAPTER, ","
7-11-51-02, nan, 95691, Locking, Locking, Locking, Locking,              "
"
2012-2013, General Services, Department of, Traut Line Industrial, 30111500.0, 30000000.0, ","
2012-2013, General Services, Department of, Traut Line Industrial, 30111500.0, 30000000.0, "
"
66.0, 21101700.0, Agricultural machinery for harvesting, 21100000.0, ","
25.0, 21101700.0, Agricultural machinery for harvesting, 21100000.0, "
"
NON-IT Services, Amendment to exercise the option to extend an additional 12 months., 1.0, 76121601
76121602, ","
NON-IT Services, Amend contract to exercise optional term., 1.0, 76121601, 

### Response:
NON-IT Services, am"
"
nan, 23152103.0, Industrial Manufacturing and Processing Machinery and Accessories, ","
nan, 23152103.0, Industrial Manufacturing and Processing Machinery and Accessories, "
"
Computer accessories, 43000000.0, ","
Computer accessories, 43000000.0, "
"
10/05/2012, 2012-2013, 95696
(38.43, -122.02), ","
10/05/2012, 2012-2013, 95696
(38.43, -122.02), "
"
04/30/2013, 72154013, Specialty building and trades services, Building and Facility Construction and Maintenance Services, ","
01/07/2013, 72154013, Specialty building and trades services, Building and Facility Construction and Maintenance Services, "
"
Corrections and Rehabilitation, Department of, 1.0, Management advisory services, 95833
(38.615723, -121.50562), ","
Corrections and Rehabilitation, Department of, 1.0, Management advisory services, 95833
(38.615723, -121.50562), "
"
4500169252, nan, Grainger Industrial Supply, $11398.66, $11398.66, 14110000.0, ","
4500170672, nan, Grainger Industrial Supply, $1919.38, $1919.38, 14110000.0, 

"
"
SACPM, nan, Amendment 3,   12/29/14, 1.0, 80101507.0, ","
PAN-SBE, nan, Amendment #3, December 29, 2014
  Extend"
"
nan, $8235.00, nan, ","
nan, $8235.00, nan, "
"
Military Department, CA-MB CA-SB, 93401, Landfill Leachate Collection, 25100000.0, 93401
(35.245417, -120.639108), ","
Military Department, CA-MB CA-SB CA-SBE MBE SB, 95531, Landfill Leachate Collection., 25100000.0, 95531
("
"
Statewide Contract, ","
Statewide Contract, "
"
NON-IT Goods, $840.00, ","
NON-IT Goods, $890.00, "
"
05/21/2014, 1000547.0, 92083, Suspension system components, ","
03/11/2014, 1752711.0, 92083, Suspension system components, "
"
1006618.0, ","
1006618.0, "
"
2013-2014, Meeting facilities, ","
2013-2014, Meeting facilities, "
"
IT Services, Infoblox Software - 1 YR premium Maintenance Renewal, Infoblox software - YR premium Maint. Renewal for IB 550-A with NW Svcs
One with Grid 1116201201100001,1116201201100013, 1116201104100240, and 111620111110046, 81110000.0, 81000000.0, ","
IT Goods, IT Consulting Services, IT Consulting Services, Inc., Oracle Premier Plus (2yr), 81110000.0, 81000000.0, 

### Response:
IT"
"
40000000.0, ","
40000000.0, "
"
90703, ","
90703, "
"
81112216, 81000000.0, ","
81112216, 81000000.0, "
"
nan, 93401-7062, ","
nan, 93401-7062, "
"
nan, ","
nan, "
"
17224.0, 44101501.0, ","
17224.0, 44101501.0, "
"
EV Charging Station, EV Charging Station; Eaton L2 30A Pedestal Mounted with necessary
supporting eequipment for efficient function.  Conduit will be
sufficient for future upgrades.  Price includes necessary plans,
permits and installation., ","
Power Supply, Power Supply, Power Supply,      Power Supply,        Power Supply,            "
"
05/01/2015, 2014-2015, $2491.29, ","
04/30/2015, 2014-2015, $634.19, 
"
"
NON-IT Goods, Correctional Health Care Services, NO, CLEANING SUPPLY LOT, CREAM CLEANSER, HAND SOAP, TOOTH BRUSHES, GROUT BRUSHES, Cleaning and janitorial supplies, ","
NON-IT Goods, Correctional Health Care Services, NO, Mop heads, Mop heads, Cleaning and janitorial supplies, 
        supplies"
"
CA-DVBE CA-MB CA-SB, $7035.00, ","
CA-DVBE CA-MB CA-SB, $7035.00, "
"
nan, 44121605, ","
nan, 44121605, "
"
2012-2013, 4500164184, Correctional Health Care Services, Medical Equipment and Accessories and Supplies, ","
2012-2013, 4500161567, Correctional Health Care Services, Medical Equipment and Accessories and Supplies, "
"
04/10/2014, 95841
(38.662263, -121.346136), ","
04/10/2014, 95841
(38.662263, -121.346136), "
"
IT Goods, NO, 26000000.0, ","
IT Goods, NO, 26000000.0, "
"
nan, Statewide Contract, nan, Food Beverage and Tobacco Products, ","
nan, Statewide Contract, nan, Food Beverage and Tobacco Products, "
"
$8700.00, 43000000.0, ","
$8700.00, 43000000.0, "
"
05/07/2015, nan, 92587, Vacuum breaker, ","
05/01/2015, nan, 92587, Vacuum breaker, "
"
nan, 50192703.0, ","
nan, 50192703.0, "
"
2013-2014, nan, 8.0, ","
2013-2014, nan, 1.0, "
"
2013-2014, 1210362.0, ","
2013-2014, 1390120.0, "
"
80101500.0, Management and Business Professionals and Administrative Services, ","
80101500.0, Management and Business Professionals and Administrative Services, "
"
nan, NO, ","
07/23/201"
"
Parks & Recreation, Department of, 1001557.0, ","
Parks & Recreation, Department of, 1008509.0, "
"
SENATE COMMITTEE ON RULES, CAPITOL INFRASTRUCTURE REPAIR PROJECT, DGS, SACRAMENT, ","
SASTRUCTURE REPAIR PROJECT, DGS, SACRAMENTO, CA, 
    
     
    "
"
132079DP, CA-MB CA-SB, 95742, NO, 95742
(38.585855, -121.217204), ","
13F-3046, CA-MB CA-SB, 95742, NO, 95742
(38.585855, -121.217204), "
"
NO, ","
NO, "
"
93721
(36.733741, -119.78399), ","
93721
(36.733741, -119.78399), "
"
nan, ","
nan, "
"
1.0, $2245.40, ","
1.0, $2245.40, "
"
2013-2014, Dosing devices, 95640
(38.335558, -120.93428), ","
2013-2014, Dosing devices, 95640
(38.335558, -120.93428), "
"
Water Resources, Department of, $692.00, Lamps and lightbulbs and lamp components, Electrical Systems and Lighting and Components and Accessories and Supplies, ","
Water Resources, Department of, $692.00, Lamps and lightbulbs and lamp components, Electrical Systems and Lighting and Components and Accessories and Supplies, "
"
nan, ","
nan, "
"
04A4722, 72151207, 72151207.0, 94578
(37.703962, -122.126643), ","
10A1547, 72151204, 72151204.0, 94578
(37.703962, -122.126643), "
"
Walker's Office Supplies, ","
Granite Data Solutions, 

"
"
nan, 45000000.0, ","
nan, 45000000.0, "
"
MELA, 81111805, Proprietary or licensed systems maintenance or support, ","
Microsoft Enterprise License Agreement, 81111805, Proprietary or license"
"
12/14/2012, $149.95, Audio and visual presentation and composing equipment, ","
12/13/2012, $149.95, Audio and visual presentation and composing equipment, "
"
nan, 11-6459-3, Compensated legal participation services, 80000000.0, ","
nan, 12-861-034, Compensated legal participation services, 80000000.0,"
"
nan, Personal Services, Contractor shall perform parking lot sweeping and steam cleaning
services at the Modesto DMV field office located at 124 Burney Street,
Modesto, CA  95354., 72103300.0, Infrastructure maintenance and repair services, ","
nan, Personal Services, Parking Lot Sweeping and Steam Cleaning Services for the Modesto DMV., 72103300.0, Infrastructure maintenance and repair services,    

"
"
17224.0, ","
17224.0, "
"
4500207854, Gasoline or Petrol, ","
4500207854, Gasoline or Petrol, "
"
07/29/2014, nan, Tidewater Contractors Inc, 30120000.0, Roads and landscape, Structures and Building and Construction and Manufacturing Components and Supplies, ","
07/22/2014, nan, Tidewater Contractors, 30120000.0, Roads and landscape, Structures and Building and Construction and Manufacturing Components and Supplies, 

"
"
07/09/2014, nan, NEWSPRINT, 14121901.0, 14121900.0, ","
07/01/2014, nan, NEWSPRINT, 14121901.0, 14121900.0, "
"
06/20/2014, nan, nan, CA-DVBE CA-SBE CDVBE SDVOSB, $9.90, ","
04/23/2014, nan, nan, CA-DVBE CA-SBE CDVBE SDVOSB, $9.40, "
"
06/02/2015, 4500284377, nan, 44101707.0, nan, ","
06/02/2015, 4500284136, nan, 44101707.0, nan, "
"
01/07/2015, 2014-2015, 399.0, ","
02/28/2015, 2014-2015, 4.0, 

"
"
WSCA/Coop, nan, 1013057.0, NO, ","
WSCA/Coop, nan, 1013057.0, NO, "
"
nan, NO, 25172504.0, Automobile or light truck tires, Commercial and Military and Private Vehicles and their Accessories and Components, ","
nan, NO, 25172504.0, Automobile or light truck tires, Commercial and Military and Private Vehicles and their Accessories and Components, "
"
nan, 1755530.0, $729.00, nan, ","
nan, 1755530.0, $3123.00, nan,"
"
nan, ","
nan, "
"
CA-MB CA-SB, ","
CA-MB CA-SB, "
"
nan, nan, 39120000.0, ","
nan, nan, 39120000.0, "
"
2012-2013, nan, nan, 72141000.0, Building and Facility Construction and Maintenance Services, ","
2012-2013, nan, nan, 72141000.0, Building and Facility Construction and Maintenance Services, "
"
11/04/2014, IT Goods, Statewide Contract, 1792325.0, nan, ","
10/23/2014, IT Goods, Statewide Contract, 1751519.0, nan, "
"
11/06/2013, nan, 1001584.0, 95691, 20111600.0, 20110000.0, ","
11/06/2013, nan, 1001584.0, 95691, 20111600.0, 20110000.0, "
"
SO12158, Social Services, Department of, ","
13-I0042, Pesticide Regulation, Departmen"
"
1.0, 95816
(38.57219, -121.467691), ","
1.0, 95816
(38.57219, -121.467691), "
"
08/20/2013, Expert Witneses, Justice, Department of, ","
05/12/2014, Expert Witneses, Justice, Department of, "
"
08/07/2014, nan, NO, Traffic control, 46160000.0, ","
08/07/2014, nan, NO, Traffic control, 46160000.0, "
"
1731830.0, ","
1731830.0, "
"
Fuel for Equip. 04S256, Fuels and Fuel Additives and Lubricants and Anti corrosive Materials, ","
Fuel for Equip. 04S256, Fuels and Fuel Additives and Lubricants and Anti corrosive Materials, "
"
NON-IT Goods, Correctional Health Care Services, 1752319.0, nan, Medical Supplies, $8440.78, 42310000.0, ","
NON-IT Goods, Correctional Health Care Services, 1752319.0, nan, Medical Supplies, $8440.78, 42310000.0, "
"
17224.0, ","
17224.0, "
"
Informal Competitive, Pesticide Regulation, Department of, ","
Fair and Reasonable, Pesticide Regulation, Department of, 
"
"
06/07/2013, 04-35399, Nonprofit Organizations, 1.0, ","
06/29/2013, 04-35399, Subvention and Local Assistanc"
"
Fair and Reasonable, 14995.0, Rubber stamping stamps, 95361
(37.777713, -120.822846), ","
SB/DVBE Option, 14995.0, Rubber stamping stamps, 95361
(37.777713, -120.822846), 

###"
"
","
"
"
NO, 53111600.0, ","
NO, 53111600.0, "
"
IT Goods, Engineering and Research and Technology Based Services, ","
IT Goods, Engineering and Research and Technology Based Services, "
"
Parks & Recreation, Department of, Fuels, ","
Parks & Recreation, Department of, Fuels, "
"
CA-MB CA-SB DBE MBE SB, 92507, 42142300.0, ","
CA-MB CA-SB DBE MBE SB, 92507, 42142300.0, "
"
1.0, $221.02, 55121605.0, Addressing or mailing labels, ","
1.0, $221.02, 55121605.0, Self adhesive labels, ~~"", ~~"""
"
1-10-65-20, 15111505
42151611
42151614, Butane, ","
1-10-65-20, 15111505, Gaseous fuels,            "
"
2UI3N720, nan, nan, Washroom sanitation services, 76100000.0, ","
2UI3L580, nan, CA-MB CA-SB, Equipment usage fee, 76100000.0, 
"
"
NON-IT Goods, Developmental Services, Department of, nan, Plastic and chemical industries, Industrial Production and Manufacturing Services, ","
NON-IT Goods, Developmental Services, Department of, nan, Plastic and chemical industries, Industrial Production and Manufacturing Services, "
"
07/15/2012, Forestry and Fire Protection, Department of, 97503
(42.492193, -122.88154), ","
06/27/2013, Forestry and Fire Protection, Department of, 97503
(44.698592, -123.167522),"
"
002-601-14, Services are specifically exempt by statute, ","
S4925102, Services are specifically exempt by statute, 
#"
"
CA-SB, ","
CA-SB, "
"
4500239459, TV Wall Mounting Bracket, 2.0, Video and combination video and audio presentation equipment and hardware and controllers, ","
4500247582, TV Wall Mounting Bracket, 1.0, Video and combination video and audio presentation equipment and hardware and controllers, "
